Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;91600;91600;2004;20041231; 110.315 ; 1.215,70 ; 90.742 ;;;;;;;
AT13;91700;91700;2004;20041231; 83.339 ; 1.638,74 ; 50.856 ;;;;;;;
AT13;91800;91800;2004;20041231; 49.536 ; 1.064,48 ; 46.535 ;;;;;;;
AT13;91900;91900;2004;20041231; 121.792 ; 1.828,48 ; 66.608 ;;;;;;;
AT13;92000;92000;2004;20041231; 108.342 ; 1.351,33 ; 80.174 ;;;;;;;
AT13;92100;92100;2004;20041231; 29.070 ; 216,41 ; 134.329 ;;;;;;;
AT13;92200;92200;2004;20041231; 304.324 ; 2.116,55 ; 143.783 ;;;;;;;
AT13;92300;92300;2004;20041231; 76.357 ; 874,64 ; 87.301 ;;;;;;;
AT13;90000;90000;2005;20051231; 8.768.660 ; 5.341,38 ; 1.641.646 ;;;;;;;
AT13;90100;90100;2005;20051231; 1.721.430 ; 99.757,62 ; 17.256 ;;;;;;;
AT13;90200;90200;2005;20051231; 739.697 ; 8.074,15 ; 91.613 ;;;;;;;
AT13;90300;90300;2005;20051231; 1.089.542 ; 12.966,98 ; 84.024 ;;;;;;;
AT13;90400;90400;2005;20051231; 412.280 ; 13.832,17 ; 29.806 ;;;;;;;
AT13;90500;90500;2005;20051231; 431.371 ; 8.255,11 ; 52.255 ;;;;;;;
AT13;90600;90600;2005;20051231; 555.146 ; 19.009,81 ; 29.203 ;;;;;;;
AT13;90700;90700;2005;20051231; 673.904 ; 22.737,93 ; 29.638 ;;;;;;;
AT13;90800;90800;2005;20051231; 258.919 ; 11.021,64 ; 23.492 ;;;;;;;
AT13;90900;90900;2005;20051231; 453.727 ; 11.537,95 ; 39.325 ;;;;;;;
AT13;91000;91000;2005;20051231; 424.007 ; 2.562,66 ; 165.456 ;;;;;;;
AT13;91100;91100;2005;20051231; 19.069 ; 230,76 ; 82.637 ;;;;;;;
AT13;91200;91200;2005;20051231; 144.703 ; 1.724,92 ; 83.890 ;;;;;;;
AT13;91300;91300;2005;20051231; 282.352 ; 5.509,17 ; 51.251 ;;;;;;;
