Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;90600;90600;2013;20131231; 650.169 ; 21.390,48 ; 30.395 ;;;;;;;
AT13;90700;90700;2013;20131231; 837.124 ; 27.350,18 ; 30.608 ;;;;;;;
AT13;90800;90800;2013;20131231; 413.065 ; 17.157,16 ; 24.075 ;;;;;;;
AT13;90900;90900;2013;20131231; 429.091 ; 10.675,57 ; 40.194 ;;;;;;;
AT13;91000;91000;2013;20131231; 902.687 ; 4.888,59 ; 184.652 ;;;;;;;
AT13;91100;91100;2013;20131231; 203.920 ; 2.200,34 ; 92.677 ;;;;;;;
AT13;91200;91200;2013;20131231; 250.187 ; 2.773,91 ; 90.193 ;;;;;;;
AT13;91300;91300;2013;20131231; 238.021 ; 4.661,85 ; 51.057 ;;;;;;;
AT13;91400;91400;2013;20131231; 386.574 ; 4.449,32 ; 86.884 ;;;;;;;
AT13;91500;91500;2013;20131231; 920.569 ; 12.415,00 ; 74.150 ;;;;;;;
AT13;91600;91600;2013;20131231; 145.210 ; 1.476,72 ; 98.333 ;;;;;;;
AT13;91700;91700;2013;20131231; 332.870 ; 6.167,99 ; 53.967 ;;;;;;;
AT13;91800;91800;2013;20131231; 38.995 ; 808,76 ; 48.216 ;;;;;;;
AT13;91900;91900;2013;20131231; 115.137 ; 1.666,44 ; 69.092 ;;;;;;;
AT13;92000;92000;2013;20131231; 123.474 ; 1.467,08 ; 84.163 ;;;;;;;
AT13;92100;92100;2013;20131231; 49.581 ; 335,58 ; 147.748 ;;;;;;;
AT13;92200;92200;2013;20131231; 546.056 ; 3.271,84 ; 166.896 ;;;;;;;
AT13;92300;92300;2013;20131231; 60.447 ; 631,95 ; 95.651 ;;;;;;;
AT13;90000;90000;2014;20141231; 13.524.266 ; 7.593,42 ; 1.781.051 ;;;;;;;
AT13;90100;90100;2014;20141231; 2.201.172 ; 135.837,08 ; 16.205 ;;;;;;;
AT13;90200;90200;2014;20141231; 1.689.960 ; 16.772,69 ; 100.757 ;;;;;;;
AT13;90300;90300;2014;20141231; 1.441.047 ; 16.500,20 ; 87.335 ;;;;;;;
AT13;90400;90400;2014;20141231; 645.860 ; 20.465,24 ; 31.559 ;;;;;;;
AT13;90500;90500;2014;20141231; 518.956 ; 9.629,87 ; 53.890 ;;;;;;;
AT13;90600;90600;2014;20141231; 652.690 ; 21.193,56 ; 30.797 ;;;;;;;
AT13;90700;90700;2014;20141231; 869.363 ; 28.031,87 ; 31.013 ;;;;;;;
AT13;90800;90800;2014;20141231; 434.365 ; 17.792,82 ; 24.412 ;;;;;;;
AT13;90900;90900;2014;20141231; 443.156 ; 10.904,83 ; 40.639 ;;;;;;;
AT13;91000;91000;2014;20141231; 971.709 ; 5.178,91 ; 187.628 ;;;;;;;
AT13;91100;91100;2014;20141231; 243.917 ; 2.588,45 ; 94.233 ;;;;;;;
AT13;91200;91200;2014;20141231; 253.883 ; 2.772,73 ; 91.564 ;;;;;;;
AT13;91300;91300;2014;20141231; 265.369 ; 5.130,43 ; 51.725 ;;;;;;;
AT13;91400;91400;2014;20141231; 405.218 ; 4.577,11 ; 88.532 ;;;;;;;
AT13;91500;91500;2014;20141231; 927.511 ; 12.258,43 ; 75.663 ;;;;;;;
AT13;91600;91600;2014;20141231; 167.978 ; 1.677,97 ; 100.108 ;;;;;;;
AT13;91700;91700;2014;20141231; 333.381 ; 6.056,16 ; 55.048 ;;;;;;;
AT13;91800;91800;2014;20141231; 46.507 ; 954,15 ; 48.742 ;;;;;;;
AT13;91900;91900;2014;20141231; 159.846 ; 2.297,10 ; 69.586 ;;;;;;;
AT13;92000;92000;2014;20141231; 131.994 ; 1.556,04 ; 84.827 ;;;;;;;
AT13;92100;92100;2014;20141231; 46.146 ; 307,18 ; 150.223 ;;;;;;;
AT13;92200;92200;2014;20141231; 608.947 ; 3.578,69 ; 170.159 ;;;;;;;
AT13;92300;92300;2014;20141231; 65.291 ; 677,24 ; 96.408 ;;;;;;;
AT13;90000;90000;2015;20151231; 14.328.261 ; 7.897,69 ; 1.814.235 ;;;;;;;
AT13;90100;90100;2015;20151231; 2.467.265 ; 151.134,15 ; 16.325 ;;;;;;;
AT13;90200;90200;2015;20151231; 1.774.685 ; 17.393,52 ; 102.031 ;;;;;;;
AT13;90300;90300;2015;20151231; 1.541.620 ; 17.404,46 ; 88.576 ;;;;;;;
AT13;90400;90400;2015;20151231; 662.802 ; 20.576,88 ; 32.211 ;;;;;;;
AT13;90500;90500;2015;20151231; 541.035 ; 9.926,02 ; 54.507 ;;;;;;;
AT13;90600;90600;2015;20151231; 678.936 ; 21.729,78 ; 31.245 ;;;;;;;
AT13;90700;90700;2015;20151231; 904.399 ; 28.649,57 ; 31.568 ;;;;;;;
AT13;90800;90800;2015;20151231; 483.688 ; 19.607,12 ; 24.669 ;;;;;;;
AT13;90900;90900;2015;20151231; 454.027 ; 11.024,92 ; 41.182 ;;;;;;;
AT13;91000;91000;2015;20151231; 1.162.143 ; 6.054,43 ; 191.949 ;;;;;;;
AT13;91100;91100;2015;20151231; 235.048 ; 2.438,84 ; 96.377 ;;;;;;;
AT13;91200;91200;2015;20151231; 219.209 ; 2.355,85 ; 93.049 ;;;;;;;
AT13;91300;91300;2015;20151231; 275.706 ; 5.252,49 ; 52.491 ;;;;;;;
AT13;91400;91400;2015;20151231; 463.358 ; 5.147,49 ; 90.016 ;;;;;;;
AT13;91500;91500;2015;20151231; 896.411 ; 11.635,15 ; 77.043 ;;;;;;;
AT13;91600;91600;2015;20151231; 164.040 ; 1.616,88 ; 101.455 ;;;;;;;
AT13;91700;91700;2015;20151231; 336.399 ; 6.006,20 ; 56.009 ;;;;;;;
AT13;91800;91800;2015;20151231; 57.051 ; 1.151,66 ; 49.538 ;;;;;;;
AT13;91900;91900;2015;20151231; 169.506 ; 2.405,52 ; 70.466 ;;;;;;;
AT13;92000;92000;2015;20151231; 132.855 ; 1.552,99 ; 85.548 ;;;;;;;
AT13;92100;92100;2015;20151231; 40.623 ; 264,23 ; 153.744 ;;;;;;;
AT13;92200;92200;2015;20151231; 612.237 ; 3.462,96 ; 176.796 ;;;;;;;
AT13;92300;92300;2015;20151231; 55.218 ; 566,67 ; 97.442 ;;;;;;;
AT13;90000;90000;2016;20161231; 14.962.438 ; 8.074,04 ; 1.853.154 ;;;;;;;
AT13;90100;90100;2016;20161231; 2.566.709 ; 155.978,79 ; 16.456 ;;;;;;;
AT13;90200;90200;2016;20161231; 1.836.293 ; 17.619,14 ; 104.222 ;;;;;;;
AT13;90300;90300;2016;20161231; 1.617.513 ; 17.977,59 ; 89.974 ;;;;;;;
AT13;90400;90400;2016;20161231; 693.377 ; 21.088,59 ; 32.879 ;;;;;;;
AT13;90500;90500;2016;20161231; 559.828 ; 10.155,29 ; 55.127 ;;;;;;;
AT13;90600;90600;2016;20161231; 685.431 ; 21.680,31 ; 31.615 ;;;;;;;
AT13;90700;90700;2016;20161231; 1.061.004 ; 33.015,67 ; 32.136 ;;;;;;;
AT13;90800;90800;2016;20161231; 487.699 ; 19.309,46 ; 25.257 ;;;;;;;
AT13;90900;90900;2016;20161231; 397.787 ; 9.425,28 ; 42.204 ;;;;;;;
AT13;91000;91000;2016;20161231; 1.303.049 ; 6.622,07 ; 196.774 ;;;;;;;
AT13;91100;91100;2016;20161231; 271.649 ; 2.755,60 ; 98.581 ;;;;;;;
AT13;91200;91200;2016;20161231; 240.624 ; 2.532,06 ; 95.031 ;;;;;;;
AT13;91300;91300;2016;20161231; 273.863 ; 5.074,43 ; 53.969 ;;;;;;;
AT13;91400;91400;2016;20161231; 484.142 ; 5.267,90 ; 91.904 ;;;;;;;
AT13;91500;91500;2016;20161231; 913.893 ; 11.608,82 ; 78.724 ;;;;;;;
AT13;91600;91600;2016;20161231; 170.454 ; 1.646,02 ; 103.555 ;;;;;;;
AT13;91700;91700;2016;20161231; 348.659 ; 6.133,44 ; 56.846 ;;;;;;;
AT13;91800;91800;2016;20161231; 12.606 ; 249,60 ; 50.504 ;;;;;;;
AT13;91900;91900;2016;20161231; 194.260 ; 2.708,78 ; 71.715 ;;;;;;;
AT13;92000;92000;2016;20161231; 152.070 ; 1.758,38 ; 86.483 ;;;;;;;
AT13;92100;92100;2016;20161231; 43.154 ; 274,14 ; 157.416 ;;;;;;;
AT13;92200;92200;2016;20161231; 590.838 ; 3.245,89 ; 182.026 ;;;;;;;
AT13;92300;92300;2016;20161231; 57.536 ; 576,77 ; 99.756 ;;;;;;;
AT13;90000;90000;2017;20171231; 15.512.730 ; 8.261,51 ; 1.877.710 ;;;;;;;
AT13;90100;90100;2017;20171231; 2.762.168 ; 168.072,59 ; 16.434 ;;;;;;;
AT13;90200;90200;2017;20171231; 1.873.493 ; 17.818,46 ; 105.143 ;;;;;;;
AT13;90300;90300;2017;20171231; 1.634.872 ; 18.072,35 ; 90.463 ;;;;;;;
AT13;90400;90400;2017;20171231; 690.268 ; 20.827,59 ; 33.142 ;;;;;;;
AT13;90500;90500;2017;20171231; 550.493 ; 9.914,24 ; 55.526 ;;;;;;;
AT13;90600;90600;2017;20171231; 697.329 ; 21.833,32 ; 31.939 ;;;;;;;
AT13;90700;90700;2017;20171231; 1.100.966 ; 34.186,45 ; 32.205 ;;;;;;;
AT13;90800;90800;2017;20171231; 511.528 ; 20.014,59 ; 25.558 ;;;;;;;
AT13;90900;90900;2017;20171231; 430.539 ; 10.073,56 ; 42.740 ;;;;;;;
AT13;91000;91000;2017;20171231; 1.435.056 ; 7.180,47 ; 199.855 ;;;;;;;
AT13;91100;91100;2017;20171231; 264.766 ; 2.621,39 ; 101.002 ;;;;;;;
AT13;91200;91200;2017;20171231; 252.974 ; 2.615,22 ; 96.731 ;;;;;;;
AT13;91300;91300;2017;20171231; 299.628 ; 5.526,74 ; 54.214 ;;;;;;;
AT13;91400;91400;2017;20171231; 486.392 ; 5.255,64 ; 92.547 ;;;;;;;
AT13;91500;91500;2017;20171231; 950.086 ; 12.022,18 ; 79.028 ;;;;;;;
AT13;91600;91600;2017;20171231; 173.768 ; 1.663,35 ; 104.469 ;;;;;;;
AT13;91700;91700;2017;20171231; 316.324 ; 5.511,90 ; 57.389 ;;;;;;;
AT13;91800;91800;2017;20171231; 17.703 ; 344,79 ; 51.344 ;;;;;;;
AT13;91900;91900;2017;20171231; 180.193 ; 2.486,38 ; 72.472 ;;;;;;;
AT13;92000;92000;2017;20171231; 170.229 ; 1.954,51 ; 87.095 ;;;;;;;
AT13;92100;92100;2017;20171231; 40.600 ; 252,58 ; 160.740 ;;;;;;;
AT13;92200;92200;2017;20171231; 607.519 ; 3.274,41 ; 185.536 ;;;;;;;
AT13;92300;92300;2017;20171231; 65.836 ; 644,57 ; 102.139 ;;;;;;;
AT13;90000;90000;2018;20181231; 16.483.497 ; 8.711,55 ; 1.892.143 ;;;;;;;
AT13;90100;90100;2018;20181231; 2.976.413 ; 182.274,94 ; 16.329 ;;;;;;;
AT13;90200;90200;2018;20181231; 1.969.743 ; 18.703,30 ; 105.315 ;;;;;;;
AT13;90300;90300;2018;20181231; 1.763.715 ; 19.335,83 ; 91.215 ;;;;;;;
AT13;90400;90400;2018;20181231; 722.676 ; 21.718,12 ; 33.275 ;;;;;;;
AT13;90500;90500;2018;20181231; 570.965 ; 10.273,06 ; 55.579 ;;;;;;;
AT13;90600;90600;2018;20181231; 694.895 ; 21.729,30 ; 31.980 ;;;;;;;
AT13;90700;90700;2018;20181231; 1.167.041 ; 36.072,81 ; 32.352 ;;;;;;;
AT13;90800;90800;2018;20181231; 533.531 ; 20.940,85 ; 25.478 ;;;;;;;
AT13;90900;90900;2018;20181231; 513.992 ; 12.173,02 ; 42.224 ;;;;;;;
AT13;91000;91000;2018;20181231; 1.597.034 ; 7.858,10 ; 203.234 ;;;;;;;
AT13;91100;91100;2018;20181231; 287.723 ; 2.826,88 ; 101.781 ;;;;;;;
AT13;91200;91200;2018;20181231; 246.471 ; 2.525,87 ; 97.579 ;;;;;;;
AT13;91300;91300;2018;20181231; 322.279 ; 5.963,95 ; 54.038 ;;;;;;;
AT13;91400;91400;2018;20181231; 455.573 ; 4.911,81 ; 92.751 ;;;;;;;
AT13;91500;91500;2018;20181231; 918.589 ; 11.731,77 ; 78.299 ;;;;;;;
AT13;91600;91600;2018;20181231; 208.045 ; 1.995,16 ; 104.275 ;;;;;;;
AT13;91700;91700;2018;20181231; 316.621 ; 5.509,11 ; 57.472 ;;;;;;;
AT13;91800;91800;2018;20181231; 23.745 ; 459,59 ; 51.666 ;;;;;;;
AT13;91900;91900;2018;20181231; 197.719 ; 2.720,88 ; 72.667 ;;;;;;;
AT13;92000;92000;2018;20181231; 230.469 ; 2.654,23 ; 86.831 ;;;;;;;
AT13;92100;92100;2018;20181231; 49.494 ; 301,72 ; 164.039 ;;;;;;;
AT13;92200;92200;2018;20181231; 659.004 ; 3.489,96 ; 188.828 ;;;;;;;
AT13;92300;92300;2018;20181231; 57.760 ; 550,44 ; 104.935 ;;;;;;;
AT13;90000;90000;2019;20191231; 17.604.573 ; 9.249,76 ; 1.903.246 ;;;;;;;
AT13;90100;90100;2019;20191231; 3.119.868 ; 193.038,74 ; 16.162 ;;;;;;;
AT13;90200;90200;2019;20191231; 2.190.429 ; 20.814,50 ; 105.236 ;;;;;;;
AT13;90300;90300;2019;20191231; 1.759.510 ; 19.176,72 ; 91.752 ;;;;;;;
AT13;90400;90400;2019;20191231; 786.109 ; 23.691,45 ; 33.181 ;;;;;;;
AT13;90500;90500;2019;20191231; 610.601 ; 11.064,97 ; 55.183 ;;;;;;;
AT13;90600;90600;2019;20191231; 725.723 ; 22.851,39 ; 31.758 ;;;;;;;
AT13;90700;90700;2019;20191231; 1.209.783 ; 37.716,29 ; 32.076 ;;;;;;;
AT13;90800;90800;2019;20191231; 531.023 ; 21.116,44 ; 25.147 ;;;;;;;
AT13;90900;90900;2019;20191231; 597.528 ; 14.254,86 ; 41.918 ;;;;;;;
AT13;91000;91000;2019;20191231; 1.833.720 ; 8.917,56 ; 205.630 ;;;;;;;
AT13;91100;91100;2019;20191231; 302.556 ; 2.912,76 ; 103.873 ;;;;;;;
AT13;91200;91200;2019;20191231; 230.717 ; 2.372,84 ; 97.233 ;;;;;;;
AT13;91300;91300;2019;20191231; 289.729 ; 5.379,20 ; 53.861 ;;;;;;;
AT13;91400;91400;2019;20191231; 481.295 ; 5.158,53 ; 93.301 ;;;;;;;
AT13;91500;91500;2019;20191231; 976.028 ; 12.645,43 ; 77.184 ;;;;;;;
AT13;91600;91600;2019;20191231; 232.769 ; 2.250,19 ; 103.444 ;;;;;;;
AT13;91700;91700;2019;20191231; 349.897 ; 6.128,77 ; 57.091 ;;;;;;;
AT13;91800;91800;2019;20191231; 26.310 ; 511,25 ; 51.462 ;;;;;;;
AT13;91900;91900;2019;20191231; 205.745 ; 2.803,03 ; 73.401 ;;;;;;;
AT13;92000;92000;2019;20191231; 314.415 ; 3.636,05 ; 86.472 ;;;;;;;
AT13;92100;92100;2019;20191231; 55.738 ; 334,52 ; 166.620 ;;;;;;;
AT13;92200;92200;2019;20191231; 699.926 ; 3.628,82 ; 192.880 ;;;;;;;
AT13;92300;92300;2019;20191231; 75.154 ; 693,41 ; 108.383 ;;;;;;;
AT13;90000;90000;2020;20201231; 4.590.272 ; 2.396,81 ; 1.915.155 ;;;;;;;
AT13;90100;90100;2020;20201231; 821.599 ; 51.680,21 ; 15.898 ;;;;;;;
AT13;90200;90200;2020;20201231; 506.608 ; 4.799,12 ; 105.563 ;;;;;;;
AT13;90300;90300;2020;20201231; 421.358 ; 4.562,25 ; 92.358 ;;;;;;;
AT13;90400;90400;2020;20201231; 203.349 ; 6.150,98 ; 33.060 ;;;;;;;
AT13;90500;90500;2020;20201231; 114.716 ; 2.089,92 ; 54.890 ;;;;;;;
AT13;90600;90600;2020;20201231; 186.240 ; 5.913,48 ; 31.494 ;;;;;;;
AT13;90700;90700;2020;20201231; 325.071 ; 10.218,34 ; 31.813 ;;;;;;;
AT13;90800;90800;2020;20201231; 136.822 ; 5.568,43 ; 24.571 ;;;;;;;
AT13;90900;90900;2020;20201231; 150.880 ; 3.611,99 ; 41.772 ;;;;;;;
AT13;91000;91000;2020;20201231; 556.688 ; 2.669,20 ; 208.560 ;;;;;;;
AT13;91100;91100;2020;20201231; 70.614 ; 675,03 ; 104.609 ;;;;;;;
AT13;91200;91200;2020;20201231; 46.554 ; 479,23 ; 97.143 ;;;;;;;
AT13;91300;91300;2020;20201231; 104.748 ; 1.939,69 ; 54.002 ;;;;;;;
AT13;91400;91400;2020;20201231; 130.433 ; 1.395,29 ; 93.481 ;;;;;;;
AT13;91500;91500;2020;20201231; 246.281 ; 3.222,06 ; 76.436 ;;;;;;;
AT13;91600;91600;2020;20201231; 75.707 ; 735,69 ; 102.906 ;;;;;;;
AT13;91700;91700;2020;20201231; 87.295 ; 1.537,16 ; 56.790 ;;;;;;;
AT13;91800;91800;2020;20201231; 8.930 ; 173,91 ; 51.349 ;;;;;;;
AT13;91900;91900;2020;20201231; 55.727 ; 754,62 ; 73.848 ;;;;;;;
AT13;92000;92000;2020;20201231; 76.287 ; 889,43 ; 85.770 ;;;;;;;
AT13;92100;92100;2020;20201231; 19.842 ; 116,30 ; 170.609 ;;;;;;;
AT13;92200;92200;2020;20201231; 223.317 ; 1.132,62 ; 197.168 ;;;;;;;
AT13;92300;92300;2020;20201231; 21.206 ; 190,93 ; 111.067 ;;;;;;;
AT13;90000;90000;2021;20211231; 4.996.746 ; 2.597,30 ; 1.923.822 ;;;;;;;
AT13;90100;90100;2021;20211231; 914.110 ; 57.807,96 ; 15.813 ;;;;;;;
AT13;90200;90200;2021;20211231; 722.179 ; 6.896,16 ; 104.722 ;;;;;;;
AT13;90300;90300;2021;20211231; 453.440 ; 4.854,91 ; 93.398 ;;;;;;;
AT13;90400;90400;2021;20211231; 162.363 ; 4.914,39 ; 33.038 ;;;;;;;
AT13;90500;90500;2021;20211231; 90.196 ; 1.670,30 ; 54.000 ;;;;;;;
AT13;90600;90600;2021;20211231; 196.773 ; 6.342,86 ; 31.023 ;;;;;;;
AT13;90700;90700;2021;20211231; 343.460 ; 10.915,23 ; 31.466 ;;;;;;;
AT13;90800;90800;2021;20211231; 144.887 ; 5.996,79 ; 24.161 ;;;;;;;
AT13;90900;90900;2021;20211231; 179.820 ; 4.333,25 ; 41.498 ;;;;;;;
AT13;91000;91000;2021;20211231; 583.612 ; 2.760,72 ; 211.399 ;;;;;;;
AT13;91100;91100;2021;20211231; 64.125 ; 608,30 ; 105.416 ;;;;;;;
AT13;91200;91200;2021;20211231; 35.550 ; 364,69 ; 97.480 ;;;;;;;
AT13;91300;91300;2021;20211231; 103.339 ; 1.919,47 ; 53.837 ;;;;;;;
AT13;91400;91400;2021;20211231; 135.562 ; 1.455,96 ; 93.109 ;;;;;;;
AT13;91500;91500;2021;20211231; 241.469 ; 3.180,51 ; 75.922 ;;;;;;;
AT13;91600;91600;2021;20211231; 73.775 ; 723,86 ; 101.920 ;;;;;;;
AT13;91700;91700;2021;20211231; 105.732 ; 1.882,01 ; 56.180 ;;;;;;;
AT13;91800;91800;2021;20211231; 11.167 ; 219,22 ; 50.941 ;;;;;;;
AT13;91900;91900;2021;20211231; 64.798 ; 877,16 ; 73.872 ;;;;;;;
AT13;92000;92000;2021;20211231; 97.679 ; 1.153,43 ; 84.685 ;;;;;;;
AT13;92100;92100;2021;20211231; 18.834 ; 106,96 ; 176.083 ;;;;;;;
AT13;92200;92200;2021;20211231; 238.408 ; 1.188,05 ; 200.671 ;;;;;;;
AT13;92300;92300;2021;20211231; 15.468 ; 136,66 ; 113.190 ;;;;;;;
AT13;90000;90000;2022;20221231; 13.204.666 ; 6.734,85 ; 1.960.647 ;;;;;;;
AT13;90100;90100;2022;20221231; 2.183.851 ; 134.223,57 ; 16.270 ;;;;;;;
AT13;90200;90200;2022;20221231; 1.799.919 ; 16.905,63 ; 106.469 ;;;;;;;
AT13;90300;90300;2022;20221231; 1.331.900 ; 13.928,33 ; 95.625 ;;;;;;;
AT13;90400;90400;2022;20221231; 461.717 ; 13.826,55 ; 33.394 ;;;;;;;
AT13;90500;90500;2022;20221231; 370.014 ; 6.806,53 ; 54.362 ;;;;;;;
AT13;90600;90600;2022;20221231; 588.903 ; 18.796,40 ; 31.331 ;;;;;;;
AT13;90700;90700;2022;20221231; 918.924 ; 29.149,63 ; 31.524 ;;;;;;;
AT13;90800;90800;2022;20221231; 427.284 ; 17.467,34 ; 24.462 ;;;;;;;
AT13;90900;90900;2022;20221231; 457.626 ; 10.909,49 ; 41.948 ;;;;;;;
AT13;91000;91000;2022;20221231; 1.584.634 ; 7.345,26 ; 215.736 ;;;;;;;
AT13;91100;91100;2022;20221231; 156.137 ; 1.449,63 ; 107.708 ;;;;;;;
AT13;91200;91200;2022;20221231; 103.429 ; 1.042,58 ; 99.205 ;;;;;;;
AT13;91300;91300;2022;20221231; 182.733 ; 3.312,59 ; 55.163 ;;;;;;;
AT13;91400;91400;2022;20221231; 252.714 ; 2.660,10 ; 95.002 ;;;;;;;
AT13;91500;91500;2022;20221231; 901.854 ; 11.903,19 ; 75.766 ;;;;;;;
AT13;91600;91600;2022;20221231; 172.833 ; 1.691,75 ; 102.163 ;;;;;;;
AT13;91700;91700;2022;20221231; 191.590 ; 3.411,30 ; 56.163 ;;;;;;;
AT13;91800;91800;2022;20221231; 38.525 ; 749,47 ; 51.403 ;;;;;;;
AT13;91900;91900;2022;20221231; 151.041 ; 2.013,44 ; 75.016 ;;;;;;;
AT13;92000;92000;2022;20221231; 323.075 ; 3.799,99 ; 85.020 ;;;;;;;
AT13;92100;92100;2022;20221231; 81.096 ; 446,65 ; 181.565 ;;;;;;;
AT13;92200;92200;2022;20221231; 478.990 ; 2.297,16 ; 208.514 ;;;;;;;
AT13;92300;92300;2022;20221231; 45.877 ; 392,65 ; 116.840 ;;;;;;;
AT13;90000;90000;2023;20231231; 17.261.126 ; 8.660,22 ; 1.993.150 ;;;;;;;
AT13;90100;90100;2023;20231231; 2.679.576 ; 161.556,49 ; 16.586 ;;;;;;;
AT13;90200;90200;2023;20231231; 2.215.031 ; 20.313,37 ; 109.043 ;;;;;;;
AT13;90300;90300;2023;20231231; 1.784.439 ; 18.260,73 ; 97.720 ;;;;;;;
AT13;90400;90400;2023;20231231; 581.678 ; 17.422,81 ; 33.386 ;;;;;;;
AT13;90500;90500;2023;20231231; 590.129 ; 10.769,96 ; 54.794 ;;;;;;;
AT13;90600;90600;2023;20231231; 736.467 ; 23.467,07 ; 31.383 ;;;;;;;
AT13;90700;90700;2023;20231231; 1.044.342 ; 33.050,89 ; 31.598 ;;;;;;;
AT13;90800;90800;2023;20231231; 507.929 ; 20.775,89 ; 24.448 ;;;;;;;
AT13;90900;90900;2023;20231231; 629.639 ; 15.029,34 ; 41.894 ;;;;;;;
AT13;91000;91000;2023;20231231; 2.203.529 ; 10.050,03 ; 219.256 ;;;;;;;
AT13;91100;91100;2023;20231231; 220.261 ; 2.009,85 ; 109.591 ;;;;;;;
AT13;91200;91200;2023;20231231; 278.665 ; 2.757,18 ; 101.069 ;;;;;;;
AT13;91300;91300;2023;20231231; 215.592 ; 3.883,98 ; 55.508 ;;;;;;;
AT13;91400;91400;2023;20231231; 331.102 ; 3.393,76 ; 97.562 ;;;;;;;
AT13;91500;91500;2023;20231231; 1.211.379 ; 15.901,74 ; 76.179 ;;;;;;;
AT13;91600;91600;2023;20231231; 245.349 ; 2.386,94 ; 102.788 ;;;;;;;
AT13;91700;91700;2023;20231231; 318.523 ; 5.660,01 ; 56.276 ;;;;;;;
AT13;91800;91800;2023;20231231; 68.220 ; 1.326,26 ; 51.438 ;;;;;;;
AT13;91900;91900;2023;20231231; 194.552 ; 2.579,17 ; 75.432 ;;;;;;;
AT13;92000;92000;2023;20231231; 424.051 ; 4.917,73 ; 86.229 ;;;;;;;
AT13;92100;92100;2023;20231231; 91.948 ; 496,72 ; 185.110 ;;;;;;;
AT13;92200;92200;2023;20231231; 630.957 ; 2.914,88 ; 216.461 ;;;;;;;
AT13;92300;92300;2023;20231231; 57.768 ; 483,81 ; 119.402 ;;;;;;;
AT13;90000;90000;2024;20241231; 18.864.964 ; 9.405,39 ; 2.005.760 ;;;;;;;
AT13;90100;90100;2024;20241231; 2.673.870 ; 161.680,37 ; 16.538 ;;;;;;;
AT13;90200;90200;2024;20241231; 2.409.761 ; 21.887,02 ; 110.100 ;;;;;;;
AT13;90300;90300;2024;20241231; 2.151.408 ; 21.864,35 ; 98.398 ;;;;;;;
AT13;90400;90400;2024;20241231; 540.895 ; 16.314,13 ; 33.155 ;;;;;;;
AT13;90500;90500;2024;20241231; 619.591 ; 11.389,54 ; 54.400 ;;;;;;;
AT13;90600;90600;2024;20241231; 764.136 ; 24.346,40 ; 31.386 ;;;;;;;
AT13;90700;90700;2024;20241231; 1.077.448 ; 34.190,59 ; 31.513 ;;;;;;;
AT13;90800;90800;2024;20241231; 517.821 ; 21.136,41 ; 24.499 ;;;;;;;
AT13;90900;90900;2024;20241231; 643.312 ; 15.452,72 ; 41.631 ;;;;;;;
AT13;91000;91000;2024;20241231; 2.436.464 ; 11.058,55 ; 220.324 ;;;;;;;
AT13;91100;91100;2024;20241231; 273.013 ; 2.469,39 ; 110.559 ;;;;;;;
AT13;91200;91200;2024;20241231; 533.936 ; 5.249,39 ; 101.714 ;;;;;;;
AT13;91300;91300;2024;20241231; 217.654 ; 3.921,34 ; 55.505 ;;;;;;;
AT13;91400;91400;2024;20241231; 318.690 ; 3.246,61 ; 98.161 ;;;;;;;
AT13;91500;91500;2024;20241231; 1.352.432 ; 17.706,39 ; 76.381 ;;;;;;;
AT13;91600;91600;2024;20241231; 267.368 ; 2.601,62 ; 102.770 ;;;;;;;
AT13;91700;91700;2024;20241231; 343.315 ; 6.058,04 ; 56.671 ;;;;;;;
AT13;91800;91800;2024;20241231; 59.454 ; 1.156,81 ; 51.395 ;;;;;;;
AT13;91900;91900;2024;20241231; 197.448 ; 2.618,67 ; 75.400 ;;;;;;;
AT13;92000;92000;2024;20241231; 444.007 ; 5.107,64 ; 86.930 ;;;;;;;
AT13;92100;92100;2024;20241231; 149.878 ; 804,79 ; 186.233 ;;;;;;;
AT13;92200;92200;2024;20241231; 801.120 ; 3.628,36 ; 220.794 ;;;;;;;
AT13;92300;92300;2024;20241231; 71.943 ; 593,09 ; 121.303 ;;;;;;;
