POP_AVE,REF_DATE,TOU_DENSITY,TOU_VALUE,UEP_DENSITY,UEP_VALUE,ref_year,REF_YEAR,DISTRICT_90100,DISTRICT_90200,DISTRICT_90300,DISTRICT_90400,DISTRICT_90500,DISTRICT_90600,DISTRICT_90700,DISTRICT_90800,DISTRICT_90900,DISTRICT_91000,DISTRICT_91100,DISTRICT_91200,DISTRICT_91300,DISTRICT_91400,DISTRICT_91500,DISTRICT_91600,DISTRICT_91700,DISTRICT_91800,DISTRICT_91900,DISTRICT_92000,DISTRICT_92100,DISTRICT_92200,DISTRICT_92300
24075,2013-12-31,17157.16,413065,44.52,796,2013,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91564,2014-12-31,2772.73,253883,103.18,6512,2014,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51057,2013-12-31,4661.85,238021,53.88,1695,2013,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67596,2006-12-31,2082.74,140786,48.58,2122,2006,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88532,2014-12-31,4577.11,405218,82.6,4918,2014,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93360,2008-12-31,10989.15,1025951,60.35,3934,2008,2008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29267,2008-12-31,21448.4,627733,56.76,1246,2008,2008,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150223,2014-12-31,307.18,46146,92.97,9326,2014,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95651,2013-12-31,631.95,60447,60.53,3733,2013,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98333,2013-12-31,1476.72,145210,84.95,5893,2013,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48216,2013-12-31,808.76,38995,56.43,1844,2013,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52709,2012-12-31,7788.02,410497,72.2,2796,2012,2012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77043,2015-12-31,11635.15,896411,126.63,7167,2015,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130790,2002-12-31,227.94,29812,71.57,6460,2002,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52631,2011-12-31,7454.31,392326,70.69,2737,2011,2011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28955,2002-12-31,19911.31,576522,56.86,1232,2002,2002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31013,2014-12-31,28031.87,869363,56.7,1327,2014,2014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
